2024-06-21 16:21:56,116 - DEBUG - 選擇區域按鈕被按下
2024-06-21 16:22:00,977 - DEBUG - 鼠標按下: (1289, 162)
2024-06-21 16:22:01,283 - DEBUG - 拖動鼠標: (1470, 453) - 寬: 181, 高: 291
2024-06-21 16:22:01,287 - DEBUG - 拖動鼠標: (1473, 458) - 寬: 184, 高: 296
2024-06-21 16:22:01,291 - DEBUG - 拖動鼠標: (1477, 464) - 寬: 188, 高: 302
2024-06-21 16:22:01,295 - DEBUG - 拖動鼠標: (1481, 471) - 寬: 192, 高: 309
2024-06-21 16:22:01,299 - DEBUG - 拖動鼠標: (1485, 475) - 寬: 196, 高: 313
2024-06-21 16:22:01,304 - DEBUG - 拖動鼠標: (1489, 482) - 寬: 200, 高: 320
2024-06-21 16:22:01,307 - DEBUG - 拖動鼠標: (1492, 489) - 寬: 203, 高: 327
2024-06-21 16:22:01,311 - DEBUG - 拖動鼠標: (1497, 496) - 寬: 208, 高: 334
2024-06-21 16:22:01,315 - DEBUG - 拖動鼠標: (1500, 500) - 寬: 211, 高: 338
2024-06-21 16:22:01,319 - DEBUG - 拖動鼠標: (1505, 507) - 寬: 216, 高: 345
2024-06-21 16:22:01,323 - DEBUG - 拖動鼠標: (1508, 511) - 寬: 219, 高: 349
2024-06-21 16:22:01,327 - DEBUG - 拖動鼠標: (1511, 518) - 寬: 222, 高: 356
2024-06-21 16:22:01,331 - DEBUG - 拖動鼠標: (1514, 522) - 寬: 225, 高: 360
2024-06-21 16:22:01,335 - DEBUG - 拖動鼠標: (1517, 527) - 寬: 228, 高: 365
2024-06-21 16:22:01,339 - DEBUG - 拖動鼠標: (1520, 531) - 寬: 231, 高: 369
2024-06-21 16:22:01,343 - DEBUG - 拖動鼠標: (1523, 536) - 寬: 234, 高: 374
2024-06-21 16:22:01,347 - DEBUG - 拖動鼠標: (1525, 540) - 寬: 236, 高: 378
2024-06-21 16:22:01,351 - DEBUG - 拖動鼠標: (1528, 543) - 寬: 239, 高: 381
2024-06-21 16:22:01,355 - DEBUG - 拖動鼠標: (1531, 547) - 寬: 242, 高: 385
2024-06-21 16:22:01,359 - DEBUG - 拖動鼠標: (1534, 552) - 寬: 245, 高: 390
2024-06-21 16:22:01,363 - DEBUG - 拖動鼠標: (1537, 556) - 寬: 248, 高: 394
2024-06-21 16:22:01,367 - DEBUG - 拖動鼠標: (1538, 562) - 寬: 249, 高: 400
2024-06-21 16:22:01,372 - DEBUG - 拖動鼠標: (1540, 567) - 寬: 251, 高: 405
2024-06-21 16:22:01,375 - DEBUG - 拖動鼠標: (1541, 571) - 寬: 252, 高: 409
2024-06-21 16:22:01,379 - DEBUG - 拖動鼠標: (1544, 576) - 寬: 255, 高: 414
2024-06-21 16:22:01,383 - DEBUG - 拖動鼠標: (1547, 580) - 寬: 258, 高: 418
2024-06-21 16:22:01,387 - DEBUG - 拖動鼠標: (1550, 585) - 寬: 261, 高: 423
2024-06-21 16:22:01,391 - DEBUG - 拖動鼠標: (1553, 589) - 寬: 264, 高: 427
2024-06-21 16:22:01,395 - DEBUG - 拖動鼠標: (1556, 595) - 寬: 267, 高: 433
2024-06-21 16:22:01,399 - DEBUG - 拖動鼠標: (1558, 600) - 寬: 269, 高: 438
2024-06-21 16:22:01,403 - DEBUG - 拖動鼠標: (1561, 606) - 寬: 272, 高: 444
2024-06-21 16:22:01,407 - DEBUG - 拖動鼠標: (1562, 611) - 寬: 273, 高: 449
2024-06-21 16:22:01,411 - DEBUG - 拖動鼠標: (1565, 617) - 寬: 276, 高: 455
2024-06-21 16:22:01,415 - DEBUG - 拖動鼠標: (1567, 623) - 寬: 278, 高: 461
2024-06-21 16:22:01,419 - DEBUG - 拖動鼠標: (1570, 628) - 寬: 281, 高: 466
2024-06-21 16:22:01,423 - DEBUG - 拖動鼠標: (1572, 634) - 寬: 283, 高: 472
2024-06-21 16:22:01,427 - DEBUG - 拖動鼠標: (1575, 638) - 寬: 286, 高: 476
2024-06-21 16:22:01,432 - DEBUG - 拖動鼠標: (1576, 644) - 寬: 287, 高: 482
2024-06-21 16:22:01,436 - DEBUG - 拖動鼠標: (1579, 651) - 寬: 290, 高: 489
2024-06-21 16:22:01,440 - DEBUG - 拖動鼠標: (1581, 657) - 寬: 292, 高: 495
2024-06-21 16:22:01,443 - DEBUG - 拖動鼠標: (1584, 662) - 寬: 295, 高: 500
2024-06-21 16:22:01,447 - DEBUG - 拖動鼠標: (1587, 668) - 寬: 298, 高: 506
2024-06-21 16:22:01,451 - DEBUG - 拖動鼠標: (1589, 674) - 寬: 300, 高: 512
2024-06-21 16:22:01,455 - DEBUG - 拖動鼠標: (1590, 683) - 寬: 301, 高: 521
2024-06-21 16:22:01,459 - DEBUG - 拖動鼠標: (1592, 689) - 寬: 303, 高: 527
2024-06-21 16:22:01,463 - DEBUG - 拖動鼠標: (1596, 698) - 寬: 307, 高: 536
2024-06-21 16:22:01,468 - DEBUG - 拖動鼠標: (1597, 704) - 寬: 308, 高: 542
2024-06-21 16:22:01,471 - DEBUG - 拖動鼠標: (1601, 713) - 寬: 312, 高: 551
2024-06-21 16:22:01,475 - DEBUG - 拖動鼠標: (1605, 725) - 寬: 316, 高: 563
2024-06-21 16:22:01,479 - DEBUG - 拖動鼠標: (1608, 734) - 寬: 319, 高: 572
2024-06-21 16:22:01,484 - DEBUG - 拖動鼠標: (1612, 745) - 寬: 323, 高: 583
2024-06-21 16:22:01,487 - DEBUG - 拖動鼠標: (1614, 757) - 寬: 325, 高: 595
2024-06-21 16:22:01,491 - DEBUG - 拖動鼠標: (1616, 765) - 寬: 327, 高: 603
2024-06-21 16:22:01,495 - DEBUG - 拖動鼠標: (1619, 777) - 寬: 330, 高: 615
2024-06-21 16:22:01,499 - DEBUG - 拖動鼠標: (1621, 788) - 寬: 332, 高: 626
2024-06-21 16:22:01,503 - DEBUG - 拖動鼠標: (1625, 800) - 寬: 336, 高: 638
2024-06-21 16:22:01,508 - DEBUG - 拖動鼠標: (1627, 811) - 寬: 338, 高: 649
2024-06-21 16:22:01,511 - DEBUG - 拖動鼠標: (1631, 820) - 寬: 342, 高: 658
2024-06-21 16:22:01,515 - DEBUG - 拖動鼠標: (1633, 831) - 寬: 344, 高: 669
2024-06-21 16:22:01,519 - DEBUG - 拖動鼠標: (1636, 843) - 寬: 347, 高: 681
2024-06-21 16:22:01,523 - DEBUG - 拖動鼠標: (1638, 851) - 寬: 349, 高: 689
2024-06-21 16:22:01,527 - DEBUG - 拖動鼠標: (1640, 860) - 寬: 351, 高: 698
2024-06-21 16:22:01,532 - DEBUG - 拖動鼠標: (1642, 869) - 寬: 353, 高: 707
2024-06-21 16:22:01,535 - DEBUG - 拖動鼠標: (1645, 875) - 寬: 356, 高: 713
2024-06-21 16:22:01,540 - DEBUG - 拖動鼠標: (1645, 881) - 寬: 356, 高: 719
2024-06-21 16:22:01,543 - DEBUG - 拖動鼠標: (1646, 886) - 寬: 357, 高: 724
2024-06-21 16:22:01,547 - DEBUG - 拖動鼠標: (1648, 890) - 寬: 359, 高: 728
2024-06-21 16:22:01,551 - DEBUG - 拖動鼠標: (1649, 893) - 寬: 360, 高: 731
2024-06-21 16:22:01,555 - DEBUG - 拖動鼠標: (1651, 897) - 寬: 362, 高: 735
2024-06-21 16:22:01,559 - DEBUG - 拖動鼠標: (1652, 900) - 寬: 363, 高: 738
2024-06-21 16:22:01,563 - DEBUG - 拖動鼠標: (1653, 903) - 寬: 364, 高: 741
2024-06-21 16:22:01,567 - DEBUG - 拖動鼠標: (1653, 905) - 寬: 364, 高: 743
2024-06-21 16:22:01,571 - DEBUG - 拖動鼠標: (1655, 908) - 寬: 366, 高: 746
2024-06-21 16:22:01,575 - DEBUG - 拖動鼠標: (1655, 910) - 寬: 366, 高: 748
2024-06-21 16:22:01,579 - DEBUG - 拖動鼠標: (1656, 913) - 寬: 367, 高: 751
2024-06-21 16:22:01,583 - DEBUG - 拖動鼠標: (1656, 914) - 寬: 367, 高: 752
2024-06-21 16:22:01,587 - DEBUG - 拖動鼠標: (1657, 915) - 寬: 368, 高: 753
2024-06-21 16:22:01,591 - DEBUG - 拖動鼠標: (1657, 917) - 寬: 368, 高: 755
2024-06-21 16:22:01,595 - DEBUG - 拖動鼠標: (1657, 919) - 寬: 368, 高: 757
2024-06-21 16:22:01,603 - DEBUG - 拖動鼠標: (1658, 920) - 寬: 369, 高: 758
2024-06-21 16:22:01,607 - DEBUG - 拖動鼠標: (1658, 921) - 寬: 369, 高: 759
2024-06-21 16:22:01,611 - DEBUG - 拖動鼠標: (1658, 922) - 寬: 369, 高: 760
2024-06-21 16:22:01,615 - DEBUG - 拖動鼠標: (1658, 924) - 寬: 369, 高: 762
2024-06-21 16:22:01,627 - DEBUG - 拖動鼠標: (1658, 925) - 寬: 369, 高: 763
2024-06-21 16:22:01,631 - DEBUG - 拖動鼠標: (1660, 926) - 寬: 371, 高: 764
2024-06-21 16:22:01,639 - DEBUG - 拖動鼠標: (1661, 927) - 寬: 372, 高: 765
2024-06-21 16:22:01,725 - DEBUG - 拖動鼠標: (1661, 928) - 寬: 372, 高: 766
2024-06-21 16:22:01,779 - DEBUG - 鼠標釋放: (1661, 928)
