2024-06-21 15:40:44,215 - DEBUG - 開始錄製按鈕被按下
2024-06-21 15:40:44,215 - DEBUG - 選擇錄製區域
2024-06-21 15:40:46,501 - DEBUG - 鼠標按下: (1249, 193)
2024-06-21 15:40:47,438 - DEBUG - 拖動鼠標: (1697, 962) - 寬: 448, 高: 769
2024-06-21 15:40:47,465 - DEBUG - 拖動鼠標: (1695, 962) - 寬: 446, 高: 769
2024-06-21 15:40:47,477 - DEBUG - 拖動鼠標: (1695, 963) - 寬: 446, 高: 770
2024-06-21 15:40:47,487 - DEBUG - 拖動鼠標: (1694, 963) - 寬: 445, 高: 770
2024-06-21 15:40:47,500 - DEBUG - 拖動鼠標: (1693, 964) - 寬: 444, 高: 771
2024-06-21 15:40:47,517 - DEBUG - 拖動鼠標: (1693, 965) - 寬: 444, 高: 772
2024-06-21 15:40:47,531 - DEBUG - 拖動鼠標: (1693, 966) - 寬: 444, 高: 773
2024-06-21 15:40:47,547 - DEBUG - 拖動鼠標: (1692, 966) - 寬: 443, 高: 773
2024-06-21 15:40:47,562 - DEBUG - 拖動鼠標: (1692, 968) - 寬: 443, 高: 775
2024-06-21 15:40:47,595 - DEBUG - 拖動鼠標: (1692, 969) - 寬: 443, 高: 776
2024-06-21 15:40:47,612 - DEBUG - 拖動鼠標: (1692, 970) - 寬: 443, 高: 777
2024-06-21 15:40:47,669 - DEBUG - 拖動鼠標: (1692, 971) - 寬: 443, 高: 778
2024-06-21 15:40:47,713 - DEBUG - 拖動鼠標: (1692, 972) - 寬: 443, 高: 779
2024-06-21 15:40:47,731 - DEBUG - 拖動鼠標: (1692, 973) - 寬: 443, 高: 780
2024-06-21 15:40:47,762 - DEBUG - 拖動鼠標: (1692, 974) - 寬: 443, 高: 781
2024-06-21 15:40:48,005 - DEBUG - 鼠標釋放: (1692, 974)
2024-06-21 15:41:14,151 - DEBUG - 停止錄製按鈕被按下
2024-06-21 15:41:27,889 - DEBUG - GIF已保存到: C:\ScreenRecorderGIFs\recording_20240621_154127.gif
2024-06-21 15:50:24,007 - DEBUG - 選擇區域按鈕被按下
2024-06-21 15:50:26,265 - DEBUG - 鼠標按下: (1242, 197)
2024-06-21 15:50:26,332 - DEBUG - 拖動鼠標: (1241, 197) - 寬: 1, 高: 0
2024-06-21 15:50:26,339 - DEBUG - 拖動鼠標: (1240, 197) - 寬: 2, 高: 0
2024-06-21 15:50:26,347 - DEBUG - 拖動鼠標: (1240, 198) - 寬: 2, 高: 1
2024-06-21 15:50:26,351 - DEBUG - 拖動鼠標: (1240, 199) - 寬: 2, 高: 2
2024-06-21 15:50:26,356 - DEBUG - 拖動鼠標: (1241, 202) - 寬: 1, 高: 5
2024-06-21 15:50:26,358 - DEBUG - 拖動鼠標: (1243, 203) - 寬: 1, 高: 6
2024-06-21 15:50:26,363 - DEBUG - 拖動鼠標: (1244, 205) - 寬: 2, 高: 8
2024-06-21 15:50:26,366 - DEBUG - 拖動鼠標: (1245, 207) - 寬: 3, 高: 10
2024-06-21 15:50:26,371 - DEBUG - 拖動鼠標: (1248, 209) - 寬: 6, 高: 12
2024-06-21 15:50:26,375 - DEBUG - 拖動鼠標: (1249, 212) - 寬: 7, 高: 15
2024-06-21 15:50:26,379 - DEBUG - 拖動鼠標: (1252, 215) - 寬: 10, 高: 18
2024-06-21 15:50:26,383 - DEBUG - 拖動鼠標: (1253, 217) - 寬: 11, 高: 20
2024-06-21 15:50:26,386 - DEBUG - 拖動鼠標: (1256, 220) - 寬: 14, 高: 23
2024-06-21 15:50:26,391 - DEBUG - 拖動鼠標: (1257, 223) - 寬: 15, 高: 26
2024-06-21 15:50:26,395 - DEBUG - 拖動鼠標: (1260, 226) - 寬: 18, 高: 29
2024-06-21 15:50:26,399 - DEBUG - 拖動鼠標: (1262, 230) - 寬: 20, 高: 33
2024-06-21 15:50:26,403 - DEBUG - 拖動鼠標: (1264, 233) - 寬: 22, 高: 36
2024-06-21 15:50:26,407 - DEBUG - 拖動鼠標: (1267, 238) - 寬: 25, 高: 41
2024-06-21 15:50:26,411 - DEBUG - 拖動鼠標: (1270, 242) - 寬: 28, 高: 45
2024-06-21 15:50:26,415 - DEBUG - 拖動鼠標: (1273, 245) - 寬: 31, 高: 48
2024-06-21 15:50:26,420 - DEBUG - 拖動鼠標: (1275, 248) - 寬: 33, 高: 51
2024-06-21 15:50:26,423 - DEBUG - 拖動鼠標: (1277, 249) - 寬: 35, 高: 52
2024-06-21 15:50:26,426 - DEBUG - 拖動鼠標: (1279, 250) - 寬: 37, 高: 53
2024-06-21 15:50:26,431 - DEBUG - 拖動鼠標: (1281, 253) - 寬: 39, 高: 56
2024-06-21 15:50:26,435 - DEBUG - 拖動鼠標: (1282, 254) - 寬: 40, 高: 57
2024-06-21 15:50:26,439 - DEBUG - 拖動鼠標: (1285, 256) - 寬: 43, 高: 59
2024-06-21 15:50:26,443 - DEBUG - 拖動鼠標: (1286, 261) - 寬: 44, 高: 64
2024-06-21 15:50:26,447 - DEBUG - 拖動鼠標: (1289, 264) - 寬: 47, 高: 67
2024-06-21 15:50:26,451 - DEBUG - 拖動鼠標: (1292, 267) - 寬: 50, 高: 70
2024-06-21 15:50:26,455 - DEBUG - 拖動鼠標: (1295, 271) - 寬: 53, 高: 74
